time,vehicle_id,x,y,speed
64.00,flow0.11,-2716.56,3911.61,10.42
64.00,flow0.12,-2758.71,3911.61,6.20
64.00,flow0.13,-2780.15,3911.61,3.09
65.00,flow0.11,-2705.44,3911.61,11.12
65.00,flow0.12,-2751.55,3911.61,7.16
65.00,flow0.13,-2776.27,3911.61,3.88
65.00,flow0.14,-2787.49,3911.61,0.00
66.00,flow0.11,-2693.71,3911.61,11.73
66.00,flow0.12,-2743.77,3911.61,7.79
66.00,flow0.13,-2771.70,3911.61,4.58
66.00,flow0.14,-2786.59,3911.61,0.90
67.00,flow0.12,-2735.17,3911.61,8.59
67.00,flow0.13,-2766.17,3911.61,5.52
67.00,flow0.14,-2784.94,3911.61,1.64
68.00,flow0.12,-2725.59,3911.61,9.59
68.00,flow0.13,-2759.94,3911.61,6.23
68.00,flow0.14,-2782.42,3911.61,2.53
69.00,flow0.12,-2715.28,3911.61,10.31
69.00,flow0.13,-2753.18,3911.61,6.76
69.00,flow0.14,-2779.35,3911.61,3.07
69.00,flow0.15,-2787.49,3911.61,0.00
70.00,flow0.12,-2704.07,3911.61,11.20
70.00,flow0.13,-2745.88,3911.61,7.30
70.00,flow0.14,-2775.39,3911.61,3.96
70.00,flow0.15,-2786.91,3911.61,0.58
71.00,flow0.12,-2692.05,3911.61,12.03
71.00,flow0.13,-2737.70,3911.61,8.17
71.00,flow0.14,-2770.66,3911.61,4.73
71.00,flow0.15,-2785.48,3911.61,1.43
72.00,flow0.13,-2728.95,3911.61,8.76
72.00,flow0.14,-2765.08,3911.61,5.58
72.00,flow0.15,-2783.51,3911.61,1.96
73.00,flow0.13,-2719.37,3911.61,9.57
73.00,flow0.14,-2758.50,3911.61,6.57
73.00,flow0.15,-2780.66,3911.61,2.86
74.00,flow0.13,-2709.09,3911.61,10.29
74.00,flow0.14,-2750.96,3911.61,7.55
74.00,flow0.15,-2776.82,3911.61,3.84
74.00,flow0.16,-2787.49,3911.61,0.00
75.00,flow0.13,-2697.82,3911.61,11.27
75.00,flow0.14,-2742.87,3911.61,8.09
75.00,flow0.15,-2772.08,3911.61,4.74
75.00,flow0.16,-2786.66,3911.61,0.83
76.00,flow0.13,-2685.69,3911.61,12.13
76.00,flow0.14,-2733.80,3911.61,9.07
76.00,flow0.15,-2766.74,3911.61,5.34
76.00,flow0.16,-2785.11,3911.61,1.56
77.00,flow0.14,-2723.98,3911.61,9.82
77.00,flow0.15,-2760.63,3911.61,6.10
77.00,flow0.16,-2782.90,3911.61,2.20
78.00,flow0.14,-2713.57,3911.61,10.42
78.00,flow0.15,-2753.77,3911.61,6.86
78.00,flow0.16,-2779.89,3911.61,3.01
78.00,flow0.17,-2787.49,3911.61,0.00
79.00,flow0.14,-2702.32,3911.61,11.25
79.00,flow0.15,-2746.35,3911.61,7.42
79.00,flow0.16,-2776.02,3911.61,3.86
79.00,flow0.17,-2787.40,3911.61,0.09
80.00,flow0.14,-2690.18,3911.61,12.14
80.00,flow0.15,-2738.09,3911.61,8.26
80.00,flow0.16,-2771.49,3911.61,4.54
80.00,flow0.17,-2786.43,3911.61,0.97
81.00,flow0.15,-2729.27,3911.61,8.81
81.00,flow0.16,-2766.28,3911.61,5.21
81.00,flow0.17,-2784.48,3911.61,1.95
82.00,flow0.15,-2719.92,3911.61,9.36
82.00,flow0.16,-2760.43,3911.61,5.84
82.00,flow0.17,-2781.54,3911.61,2.94
83.00,flow0.15,-2709.74,3911.61,10.18
83.00,flow0.16,-2754.05,3911.61,6.38
83.00,flow0.17,-2777.98,3911.61,3.55
83.00,flow0.18,-2787.49,3911.61,0.00
84.00,flow0.15,-2698.93,3911.61,10.81
84.00,flow0.16,-2747.07,3911.61,6.98
84.00,flow0.17,-2773.44,3911.61,4.54
84.00,flow0.18,-2786.78,3911.61,0.71
85.00,flow0.15,-2687.36,3911.61,11.57
85.00,flow0.16,-2739.29,3911.61,7.78
85.00,flow0.17,-2767.99,3911.61,5.45
85.00,flow0.18,-2785.33,3911.61,1.45
86.00,flow0.16,-2730.83,3911.61,8.46
86.00,flow0.17,-2762.01,3911.61,5.99
86.00,flow0.18,-2783.00,3911.61,2.33
87.00,flow0.16,-2721.82,3911.61,9.01
87.00,flow0.17,-2755.28,3911.61,6.73
87.00,flow0.18,-2779.88,3911.61,3.12
87.00,flow0.19,-2787.49,3911.61,0.00
88.00,flow0.16,-2711.96,3911.61,9.86
88.00,flow0.17,-2747.99,3911.61,7.28
88.00,flow0.18,-2776.23,3911.61,3.65
88.00,flow0.19,-2787.42,3911.61,0.07
89.00,flow0.16,-2701.38,3911.61,10.57
89.00,flow0.17,-2739.87,3911.61,8.12
89.00,flow0.18,-2772.08,3911.61,4.16
89.00,flow0.19,-2786.80,3911.61,0.62
90.00,flow0.16,-2690.20,3911.61,11.18
90.00,flow0.17,-2731.06,3911.61,8.82
90.00,flow0.18,-2766.92,3911.61,5.15
90.00,flow0.19,-2785.40,3911.61,1.40
91.00,flow0.17,-2721.69,3911.61,9.37
91.00,flow0.18,-2760.93,3911.61,5.99
91.00,flow0.19,-2783.04,3911.61,2.36
92.00,flow0.17,-2711.74,3911.61,9.94
92.00,flow0.18,-2754.12,3911.61,6.82
92.00,flow0.19,-2779.68,3911.61,3.36
92.00,flow0.20,-2787.49,3911.61,0.00
93.00,flow0.17,-2701.29,3911.61,10.45
93.00,flow0.18,-2746.73,3911.61,7.39
93.00,flow0.19,-2775.39,3911.61,4.29
93.00,flow0.20,-2787.19,3911.61,0.30
94.00,flow0.17,-2689.87,3911.61,11.42
94.00,flow0.18,-2738.47,3911.61,8.26
94.00,flow0.19,-2770.12,3911.61,5.27
94.00,flow0.20,-2786.15,3911.61,1.03
95.00,flow0.18,-2729.56,3911.61,8.91
95.00,flow0.19,-2764.30,3911.61,5.82
95.00,flow0.20,-2784.23,3911.61,1.92
96.00,flow0.18,-2720.03,3911.61,9.53
96.00,flow0.19,-2757.93,3911.61,6.37
96.00,flow0.20,-2781.60,3911.61,2.63
97.00,flow0.18,-2709.63,3911.61,10.40
97.00,flow0.19,-2750.90,3911.61,7.03
97.00,flow0.20,-2778.17,3911.61,3.43
97.00,flow0.21,-2787.49,3911.61,0.00
98.00,flow0.18,-2698.64,3911.61,10.99
98.00,flow0.19,-2742.95,3911.61,7.96
98.00,flow0.20,-2773.87,3911.61,4.30
98.00,flow0.21,-2786.75,3911.61,0.74
99.00,flow0.18,-2686.70,3911.61,11.94
99.00,flow0.19,-2734.03,3911.61,8.91
99.00,flow0.20,-2768.62,3911.61,5.26
99.00,flow0.21,-2785.10,3911.61,1.64
100.00,flow0.19,-2724.33,3911.61,9.70
100.00,flow0.20,-2762.81,3911.61,5.81
100.00,flow0.21,-2782.95,3911.61,2.16
101.00,flow0.19,-2713.66,3911.61,10.67
101.00,flow0.20,-2756.44,3911.61,6.37
101.00,flow0.21,-2780.06,3911.61,2.89
102.00,flow0.19,-2702.04,3911.61,11.61
102.00,flow0.20,-2749.34,3911.61,7.11
102.00,flow0.21,-2776.35,3911.61,3.71
102.00,flow0.22,-2787.49,3911.61,0.00
103.00,flow0.19,-2689.86,3911.61,12.19
103.00,flow0.20,-2741.37,3911.61,7.97
103.00,flow0.21,-2771.85,3911.61,4.50
103.00,flow0.22,-2786.61,3911.61,0.88
104.00,flow0.20,-2732.86,3911.61,8.50
104.00,flow0.21,-2766.84,3911.61,5.01
104.00,flow0.22,-2785.03,3911.61,1.58
105.00,flow0.20,-2723.79,3911.61,9.08
105.00,flow0.21,-2761.33,3911.61,5.51
105.00,flow0.22,-2782.77,3911.61,2.26
