time,vehicle_id,x,y,speed,anomaly
85.0,flow0.18,-2785.33,3911.61,1.45,False
86.0,flow0.16,-2730.83,3911.61,8.46,False
86.0,flow0.17,-2762.01,3911.61,5.99,False
86.0,flow0.18,-2783.0,3911.61,2.33,False
87.0,flow0.16,-2721.82,3911.61,9.01,False
87.0,flow0.17,-2755.28,3911.61,6.73,False
87.0,flow0.18,-2779.88,3911.61,3.12,False
87.0,flow0.19,-2787.49,3911.61,0.0,False
88.0,flow0.16,-2711.96,3911.61,9.86,False
88.0,flow0.17,-2747.99,3911.61,7.28,False
88.0,flow0.18,-2776.23,3911.61,3.65,False
88.0,flow0.19,-2787.42,3911.61,0.07,False
89.0,flow0.16,-2701.38,3911.61,10.57,False
89.0,flow0.17,-2739.87,3911.61,8.12,False
89.0,flow0.18,-2772.08,3911.61,4.16,False
89.0,flow0.19,-2786.8,3911.61,0.62,False
90.0,flow0.16,-2690.2,3911.61,11.18,True
90.0,flow0.17,-2731.06,3911.61,8.82,False
90.0,flow0.18,-2766.92,3911.61,5.15,False
90.0,flow0.19,-2785.4,3911.61,1.4,False
91.0,flow0.17,-2721.69,3911.61,9.37,False
91.0,flow0.18,-2760.93,3911.61,5.99,False
91.0,flow0.19,-2783.04,3911.61,2.36,False
92.0,flow0.17,-2711.74,3911.61,9.94,False
92.0,flow0.18,-2754.12,3911.61,6.82,False
92.0,flow0.19,-2779.68,3911.61,3.36,False
92.0,flow0.20,-2787.49,3911.61,0.0,False
93.0,flow0.17,-2701.29,3911.61,10.45,False
93.0,flow0.18,-2746.73,3911.61,7.39,False
93.0,flow0.19,-2775.39,3911.61,4.29,False
93.0,flow0.20,-2787.19,3911.61,0.3,False
94.0,flow0.17,-2689.87,3911.61,11.42,True
94.0,flow0.18,-2738.47,3911.61,8.26,False
94.0,flow0.19,-2770.12,3911.61,5.27,False
94.0,flow0.20,-2786.15,3911.61,1.03,False
95.0,flow0.18,-2729.56,3911.61,8.91,False
95.0,flow0.19,-2764.3,3911.61,5.82,False
95.0,flow0.20,-2784.23,3911.61,1.92,False
96.0,flow0.18,-2720.03,3911.61,9.53,False
96.0,flow0.19,-2757.93,3911.61,6.37,False
96.0,flow0.20,-2781.6,3911.61,2.63,False
97.0,flow0.18,-2709.63,3911.61,10.4,False
97.0,flow0.19,-2750.9,3911.61,7.03,False
97.0,flow0.20,-2778.17,3911.61,3.43,False
97.0,flow0.21,-2787.49,3911.61,0.0,False
98.0,flow0.18,-2698.64,3911.61,10.99,False
98.0,flow0.19,-2742.95,3911.61,7.96,False
98.0,flow0.20,-2773.87,3911.61,4.3,False
98.0,flow0.21,-2786.75,3911.61,0.74,False
99.0,flow0.18,-2686.7,3911.61,11.94,False
99.0,flow0.19,-2734.03,3911.61,8.91,False
99.0,flow0.20,-2768.62,3911.61,5.26,False
99.0,flow0.21,-2785.1,3911.61,1.64,False
100.0,flow0.19,-2724.33,3911.61,9.7,False
100.0,flow0.20,-2762.81,3911.61,5.81,False
100.0,flow0.21,-2782.95,3911.61,2.16,False
101.0,flow0.19,-2713.66,3911.61,10.67,False
101.0,flow0.20,-2756.44,3911.61,6.37,False
101.0,flow0.21,-2780.06,3911.61,2.89,False
102.0,flow0.19,-2702.04,3911.61,11.61,False
102.0,flow0.20,-2749.34,3911.61,7.11,False
102.0,flow0.21,-2776.35,3911.61,3.71,False
102.0,flow0.22,-2787.49,3911.61,0.0,False
103.0,flow0.19,-2689.86,3911.61,12.19,False
103.0,flow0.20,-2741.37,3911.61,7.97,False
103.0,flow0.21,-2771.85,3911.61,4.5,False
103.0,flow0.22,-2786.61,3911.61,0.88,False
104.0,flow0.20,-2732.86,3911.61,8.5,False
104.0,flow0.21,-2766.84,3911.61,5.01,False
104.0,flow0.22,-2785.03,3911.61,1.58,False
105.0,flow0.20,-2723.79,3911.61,9.08,False
105.0,flow0.21,-2761.33,3911.61,5.51,False
105.0,flow0.22,-2782.77,3911.61,2.26,False
106.0,flow0.20,-2713.97,3911.61,9.82,False
106.0,flow0.21,-2755.12,3911.61,6.21,False
106.0,flow0.22,-2779.51,3911.61,3.26,False
106.0,flow0.23,-2787.49,3911.61,0.0,False
107.0,flow0.20,-2703.43,3911.61,10.55,False
107.0,flow0.21,-2748.35,3911.61,6.77,False
107.0,flow0.22,-2775.61,3911.61,3.89,False
107.0,flow0.23,-2787.09,3911.61,0.4,False
108.0,flow0.20,-2692.3,3911.61,11.12,True
108.0,flow0.21,-2740.65,3911.61,7.7,False
108.0,flow0.22,-2771.01,3911.61,4.61,False
108.0,flow0.23,-2785.69,3911.61,1.4,False
109.0,flow0.21,-2732.33,3911.61,8.32,False
109.0,flow0.22,-2765.8,3911.61,5.2,False
109.0,flow0.23,-2783.32,3911.61,2.38,False
110.0,flow0.21,-2723.09,3911.61,9.25,False
110.0,flow0.22,-2759.63,3911.61,6.18,False
110.0,flow0.23,-2780.43,3911.61,2.89,False
111.0,flow0.21,-2713.31,3911.61,9.77,False
111.0,flow0.22,-2752.77,3911.61,6.85,False
111.0,flow0.23,-2776.87,3911.61,3.55,False
111.0,flow0.24,-2787.49,3911.61,0.0,False
112.0,flow0.21,-2702.92,3911.61,10.4,False
112.0,flow0.22,-2745.19,3911.61,7.59,False
112.0,flow0.23,-2772.43,3911.61,4.45,False
112.0,flow0.24,-2786.88,3911.61,0.61,False
113.0,flow0.21,-2691.93,3911.61,10.99,True
113.0,flow0.22,-2736.81,3911.61,8.38,False
113.0,flow0.23,-2767.19,3911.61,5.23,False
113.0,flow0.24,-2785.54,3911.61,1.35,False
114.0,flow0.22,-2727.7,3911.61,9.11,False
114.0,flow0.23,-2761.03,3911.61,6.16,False
114.0,flow0.24,-2783.4,3911.61,2.13,False
115.0,flow0.22,-2717.88,3911.61,9.83,False
115.0,flow0.23,-2754.37,3911.61,6.66,False
115.0,flow0.24,-2780.31,3911.61,3.09,False
116.0,flow0.22,-2707.18,3911.61,10.7,False
116.0,flow0.23,-2746.77,3911.61,7.6,False
116.0,flow0.24,-2776.68,3911.61,3.63,False
116.0,flow0.25,-2787.49,3911.61,0.0,False
117.0,flow0.22,-2695.95,3911.61,11.23,False
117.0,flow0.23,-2738.23,3911.61,8.54,False
117.0,flow0.24,-2772.36,3911.61,4.32,False
117.0,flow0.25,-2786.58,3911.61,0.91,False
118.0,flow0.22,-2683.75,3911.61,12.2,False
118.0,flow0.23,-2728.83,3911.61,9.39,False
118.0,flow0.24,-2767.44,3911.61,4.92,False
118.0,flow0.25,-2784.72,3911.61,1.86,False
119.0,flow0.23,-2718.59,3911.61,10.25,False
119.0,flow0.24,-2761.62,3911.61,5.82,False
119.0,flow0.25,-2781.98,3911.61,2.74,False
120.0,flow0.23,-2707.81,3911.61,10.77,False
120.0,flow0.24,-2755.23,3911.61,6.39,False
120.0,flow0.25,-2778.72,3911.61,3.27,False
120.0,flow0.26,-2787.49,3911.61,0.0,False
121.0,flow0.23,-2696.24,3911.61,11.58,False
121.0,flow0.24,-2748.2,3911.61,7.03,False
121.0,flow0.25,-2774.61,3911.61,4.1,False
